id,nama_rempah,nama_latin,kategori,deskripsi,rasa,aroma,warna,manfaat,fungsi_masakan,resep_populer,tips_penyimpanan
12,Daun Kemangi,Ocimum basilicum,Daun Aromatik,"Daun aromatik yang sering digunakan sebagai lalapan atau campuran masakan.","Segar","Harum khas","Hijau","Mengandung antioksidan","Penambah aroma dan kesegaran","Pepes; Lalapan; Sambal","Simpan dalam wadah tertutup di kulkas"
13,Daun Ketumbar,Coriandrum sativum,Daun Aromatik,"Daun dari tanaman ketumbar yang memiliki aroma khas.","Segar","Harum","Hijau","Mengandung vitamin dan antioksidan","Pelengkap dan garnish","Sup; Kari; Soto","Simpan di kulkas"
14,Daun Salam,Syzygium polyanthum,Daun Aromatik,"Daun yang umum digunakan sebagai penambah aroma masakan Indonesia.","Sedikit pahit","Harum khas","Hijau","Mengandung antioksidan","Pemberi aroma masakan","Semur; Soto; Gulai","Simpan di tempat kering"
15,Jahe,Zingiber officinale,Rimpang,"Rimpang yang memiliki rasa hangat dan aroma khas.","Pedas hangat","Segar","Krem kecokelatan","Membantu menghangatkan tubuh","Pemberi rasa hangat","Wedang Jahe; Soto; Rendang","Simpan di tempat sejuk"
16,Jinten,Cuminum cyminum,Biji Rempah,"Biji rempah yang sering digunakan dalam masakan Timur Tengah dan Asia.","Hangat","Aromatik kuat","Cokelat","Membantu pencernaan","Pemberi aroma khas","Kari; Gulai","Simpan dalam wadah tertutup"
17,Kapulaga,Elettaria cardamomum,Biji Rempah,"Rempah dengan aroma harum yang sering digunakan pada masakan dan minuman.","Manis hangat","Harum","Hijau muda","Mengandung antioksidan","Pemberi aroma","Gulai; Minuman herbal","Simpan dalam wadah tertutup"
18,Kayu Manis,Cinnamomum verum,Kulit Batang,"Kulit batang aromatik dengan rasa manis hangat.","Manis","Harum","Cokelat","Mengandung antioksidan","Pemberi aroma dan rasa","Semur; Minuman; Kue","Simpan di tempat kering"
19,Kayu Secang,Caesalpinia sappan,Kayu Rempah,"Kayu yang sering digunakan sebagai pewarna alami dan minuman herbal.","Sedikit manis","Aromatik ringan","Merah kecokelatan","Mengandung antioksidan","Pewarna alami dan minuman","Wedang Uwuh","Simpan di tempat kering"
20,Kemiri,Aleurites moluccanus,Biji Rempah,"Biji yang digunakan untuk memberikan tekstur gurih pada masakan.","Gurih","Ringan","Krem","Sumber lemak alami","Pengental dan penyedap","Opor; Gulai; Sambal","Simpan dalam wadah tertutup"
21,Kemukus,Piper cubeba,Biji Rempah,"Rempah yang masih satu keluarga dengan lada dan memiliki aroma khas.","Pedas","Aromatik","Cokelat","Mengandung antioksidan","Pemberi rasa pedas","Masakan tradisional","Simpan di tempat kering"
22,Kencur,Kaempferia galanga,Rimpang,"Rimpang beraroma kuat yang banyak digunakan dalam masakan dan jamu.","Pedas ringan","Harum khas","Cokelat muda","Membantu menjaga kesehatan pencernaan","Penambah aroma","Nasi Uduk; Jamu Beras Kencur","Simpan di tempat sejuk"
23,Kluwek,Pangium edule,Biji Rempah,"Biji berwarna hitam yang digunakan sebagai pewarna dan pemberi rasa khas.","Gurih","Khas fermentasi","Hitam","Sumber nutrisi","Pemberi warna dan rasa","Rawon","Simpan di tempat kering"
24,Kunyit,Curcuma longa,Rimpang,"Rimpang berwarna kuning yang sering digunakan sebagai bumbu dan pewarna alami.","Sedikit pahit","Khas kunyit","Kuning oranye","Mengandung kurkumin","Pewarna alami dan penambah aroma","Nasi Kuning; Gulai; Rendang","Simpan di tempat sejuk"
25,Lada,Piper nigrum,Biji Rempah,"Rempah populer yang memberikan rasa pedas pada masakan.","Pedas","Tajam","Hitam","Mengandung antioksidan","Pemberi rasa pedas","Sup; Steak; Soto","Simpan dalam wadah tertutup"
26,Lengkuas,Alpinia galanga,Rimpang,"Rimpang yang sering digunakan untuk memberikan aroma segar pada masakan.","Pedas ringan","Segar","Krem kemerahan","Mengandung antioksidan","Mengurangi bau amis","Rendang; Soto; Gulai","Simpan di tempat sejuk"
27,Pala,Myristica fragrans,Biji Rempah,"Rempah dengan aroma hangat yang digunakan dalam makanan dan minuman.","Hangat dan manis","Harum","Cokelat","Mengandung antioksidan","Pemberi aroma","Semur; Kue; Minuman","Simpan dalam wadah tertutup"
28,Saffron,Crocus sativus,Bunga Rempah,"Rempah premium yang berasal dari putik bunga saffron.","Sedikit pahit","Harum lembut","Merah","Mengandung antioksidan","Pewarna dan aroma","Nasi Biryani; Hidangan Timur Tengah","Simpan dalam wadah kedap udara"
29,Serai,Cymbopogon citratus,Batang Aromatik,"Batang aromatik yang memberikan aroma segar pada masakan.","Segar","Sitrus","Hijau muda","Membantu menyegarkan tubuh","Pemberi aroma dan penghilang bau amis","Soto; Gulai; Rendang","Simpan di kulkas"
30,Vanili,Vanilla planifolia,Buah Rempah,"Rempah aromatik yang banyak digunakan dalam makanan penutup.","Manis","Harum vanila","Cokelat gelap","Mengandung senyawa aromatik alami","Pemberi aroma manis","Kue; Es Krim; Minuman","Simpan dalam wadah kedap udara"
